Ime,Prikazano ime,Glavna e-pošta:,Naslov v službi,Organizacija
"TURZIS turizem, zdravstvo, storitve d.o.o.","TURZIS turizem, zdravstvo, storitve d.o.o.",,"Arčoni 8 A, 5292 Renče",", TURZIS turizem, zdravstvo, storitve d.o.o."
"LJUBLJANSKI UNIVERZITETNI INKUBATOR, d.o.o.","LJUBLJANSKI UNIVERZITETNI INKUBATOR, d.o.o.",,"Vojkova cesta 63, 1000 Ljubljana",", LJUBLJANSKI UNIVERZITETNI INKUBATOR, d.o.o."
"DOM HMELINA, dom za starejše občane, d.o.o.","DOM HMELINA, dom za starejše občane, d.o.o.",,"Koroška cesta 67 A, 2360 Radlje ob Dravi",", DOM HMELINA, dom za starejše občane, d.o.o."
"MOJA ENERGIJA celovita oskrba z energijo, družba za proizvodnjo, trgovino in storitve d.o.o.","MOJA ENERGIJA celovita oskrba z energijo, družba za proizvodnjo, trgovino in storitve d.o.o.",,"Jadranska cesta 28, 2000 Maribor",", MOJA ENERGIJA celovita oskrba z energijo, družba za proizvodnjo, trgovino in storitve d.o.o."
"DOM SISTEMI družba za upravljanje, inženiring in poslovno svetovanje, d.o.o.","DOM SISTEMI družba za upravljanje, inženiring in poslovno svetovanje, d.o.o.",,"Ulica Lojzeta Hrovata 3 A, 4000 Kranj",", DOM SISTEMI družba za upravljanje, inženiring in poslovno svetovanje, d.o.o."
DOSOR dom starejših občanov d.o.o.,DOSOR dom starejših občanov d.o.o.,,"Prisojna cesta 4 A, 9252 Radenci",", DOSOR dom starejših občanov d.o.o."
"AH ZALAR, trgovska družba za prodajo in servisiranje vozil, d.o.o.","AH ZALAR, trgovska družba za prodajo in servisiranje vozil, d.o.o.",,"Male Lašče 105, 1315 Velike Lašče",", AH ZALAR, trgovska družba za prodajo in servisiranje vozil, d.o.o."
ORTHOSAN ortodontska dejavnost d.o.o.,ORTHOSAN ortodontska dejavnost d.o.o.,,"Cesta krških žrtev 132 C, 8270 Krško",", ORTHOSAN ortodontska dejavnost d.o.o."
"OČESNI KIRURŠKI CENTER DR. PFEIFER, zdravstvene storitve, d.o.o.","OČESNI KIRURŠKI CENTER DR. PFEIFER, zdravstvene storitve, d.o.o.",,"Dunajska cesta 22, 1000 Ljubljana",", OČESNI KIRURŠKI CENTER DR. PFEIFER, zdravstvene storitve, d.o.o."
"ZOBEK DENTALNI CENTER, zobozdravstvena dejavnost, d.o.o","ZOBEK DENTALNI CENTER, zobozdravstvena dejavnost, d.o.o",,"Metelkova ulica 48, 2000 Maribor",", ZOBEK DENTALNI CENTER, zobozdravstvena dejavnost, d.o.o"
VETERINARSKA AMBULANTA MAJŠPERK D.O.O.,VETERINARSKA AMBULANTA MAJŠPERK D.O.O.,,"Lešje 34, 2322 Majšperk",", VETERINARSKA AMBULANTA MAJŠPERK D.O.O."
"E 3, ENERGETIKA, EKOLOGIJA, EKONOMIJA, d.o.o.","E 3, ENERGETIKA, EKOLOGIJA, EKONOMIJA, d.o.o.",,"Erjavčeva ulica 24, 5000 Nova Gorica",", E 3, ENERGETIKA, EKOLOGIJA, EKONOMIJA, d.o.o."
LEKARNA NOVAK lekarniška dejavnost d.o.o.,LEKARNA NOVAK lekarniška dejavnost d.o.o.,,"Novi trg 9, 8000 Novo mesto",", LEKARNA NOVAK lekarniška dejavnost d.o.o."
KARDIOMED internistična in kardiološka ambulanta d.o.o.,KARDIOMED internistična in kardiološka ambulanta d.o.o.,,"Trstenjakova ulica 5, 2250 Ptuj",", KARDIOMED internistična in kardiološka ambulanta d.o.o."
BOKADENT zobozdravstvo in zobotehništvo d.o.o.,BOKADENT zobozdravstvo in zobotehništvo d.o.o.,,"Trg 58 A, 2391 Prevalje",", BOKADENT zobozdravstvo in zobotehništvo d.o.o."
"VAŠE ZDRAVJE, zdravstvene storitve, d.o.o.","VAŠE ZDRAVJE, zdravstvene storitve, d.o.o.",,"Kopitarjeva ulica 2, 2000 Maribor",", VAŠE ZDRAVJE, zdravstvene storitve, d.o.o."
"LANTANA - zdravstvene storitve, d.o.o.","LANTANA - zdravstvene storitve, d.o.o.",,"Zasavska cesta 3, 1270 Litija",", LANTANA - zdravstvene storitve, d.o.o."
V.A. VERNIK veterinarstvo in druge storitve d.o.o.,V.A. VERNIK veterinarstvo in druge storitve d.o.o.,,"Moškanjci 79, 2272 Gorišnica",", V.A. VERNIK veterinarstvo in druge storitve d.o.o."
AMBULANTA SPLOŠNE MEDICINE HABJAN d.o.o.,AMBULANTA SPLOŠNE MEDICINE HABJAN d.o.o.,,"Dašnica 124, 4228 Železniki",", AMBULANTA SPLOŠNE MEDICINE HABJAN d.o.o."
"UIP Univerzitetni razvojni center in inkubator Primorske d.o.o. Centro univeritario per lo sviluppo e incubatore universitario del Litrorale, S.r.l.","UIP Univerzitetni razvojni center in inkubator Primorske d.o.o. Centro univeritario per lo sviluppo e incubatore universitario del Litrorale, S.r.l.",,"Ferrarska ulica 8, 6000 Koper - Capodistria",", UIP Univerzitetni razvojni center in inkubator Primorske d.o.o. Centro univeritario per lo sviluppo e incubatore universitario del Litrorale, S.r.l."
"DIVINA MEDICA podjetje za zdravstveno dejavnost, trgovino in storitve d.o.o.","DIVINA MEDICA podjetje za zdravstveno dejavnost, trgovino in storitve d.o.o.",,"Betnavska cesta 13, 2000 Maribor",", DIVINA MEDICA podjetje za zdravstveno dejavnost, trgovino in storitve d.o.o."
MEDICINA DELA ZADNIKAR d.o.o.,MEDICINA DELA ZADNIKAR d.o.o.,,"Dunajska cesta 198, 1000 Ljubljana",", MEDICINA DELA ZADNIKAR d.o.o."
"ENERGEN, energetske storitve, d.o.o.","ENERGEN, energetske storitve, d.o.o.",,"Tehnološki park 21, 1000 Ljubljana",", ENERGEN, energetske storitve, d.o.o."
"DERMA SAN, zdravstvene dejavnosti, prodaja, storitve, d.o.o.","DERMA SAN, zdravstvene dejavnosti, prodaja, storitve, d.o.o.",,"Ipavčeva ulica 24, 3000 Celje",", DERMA SAN, zdravstvene dejavnosti, prodaja, storitve, d.o.o."
ZVC LIPEJ-ŠERBEC d.o.o. Zasebni veterinarski center,ZVC LIPEJ-ŠERBEC d.o.o. Zasebni veterinarski center,,"Ulica 11. novembra 43 A, 8273 Leskovec pri Krškem",", ZVC LIPEJ-ŠERBEC d.o.o. Zasebni veterinarski center"
EKO-TOPLOTA energetika d.o.o.,EKO-TOPLOTA energetika d.o.o.,,"Tivolska cesta 48, 1000 Ljubljana",", EKO-TOPLOTA energetika d.o.o."
"GEA COLLEGE CVŠ, Družba za višješolsko izobraževanje - Center višjih šol, d.o.o.","GEA COLLEGE CVŠ, Družba za višješolsko izobraževanje - Center višjih šol, d.o.o.",,"Dunajska cesta 156, 1000 Ljubljana",", GEA COLLEGE CVŠ, Družba za višješolsko izobraževanje - Center višjih šol, d.o.o."
"DIMNIKAR, čiščenje objektov in opreme, d.o.o.","DIMNIKAR, čiščenje objektov in opreme, d.o.o.",,"Jurčičeva ulica 15, 8000 Novo mesto",", DIMNIKAR, čiščenje objektov in opreme, d.o.o."
"DIAGNOSTIČNI CENTER ŠENTJUR, zdravstvene in druge storitve, trgovina in inženiring, d.o.o.","DIAGNOSTIČNI CENTER ŠENTJUR, zdravstvene in druge storitve, trgovina in inženiring, d.o.o.",,"Ulica Dušana Kvedra 27, 3230 Šentjur",", DIAGNOSTIČNI CENTER ŠENTJUR, zdravstvene in druge storitve, trgovina in inženiring, d.o.o."
JAVNO KOMUNALNO PODJETJE ŠALOVCI d.o.o.,JAVNO KOMUNALNO PODJETJE ŠALOVCI d.o.o.,,"Šalovci 162, 9204 Šalovci",", JAVNO KOMUNALNO PODJETJE ŠALOVCI d.o.o."
TURIZEM LENDAVA d.o.o.,TURIZEM LENDAVA d.o.o.,,"Glavna ulica 38, 9220 Lendava - Lendva",", TURIZEM LENDAVA d.o.o."
"EUPNEA, internistična ambulanta d.o.o.","EUPNEA, internistična ambulanta d.o.o.",,"Cvetkova ulica 12, 9000 Murska Sobota",", EUPNEA, internistična ambulanta d.o.o."
"BUTINAR, veterinarske storitve, d.o.o.","BUTINAR, veterinarske storitve, d.o.o.",,"Cesta v Staro vas 20, 6230 Postojna",", BUTINAR, veterinarske storitve, d.o.o."
"HIT BOVEC, hoteli in turizem d.o.o., Bovec - v stečaju","HIT BOVEC, hoteli in turizem d.o.o., Bovec - v stečaju",,"Ledina 6, 5230 Bovec",", HIT BOVEC, hoteli in turizem d.o.o., Bovec - v stečaju"
"VIDIM, očesni kirurški center d.o.o.","VIDIM, očesni kirurški center d.o.o.",,"Mariborska cesta 88, 3000 Celje",", VIDIM, očesni kirurški center d.o.o."
"CENTER ZA RAVNANJE Z ODPADKI ZASAVJE, d.o.o.","CENTER ZA RAVNANJE Z ODPADKI ZASAVJE, d.o.o.",,"Brdce 41 B, 1431 Dol pri Hrastniku",", CENTER ZA RAVNANJE Z ODPADKI ZASAVJE, d.o.o."
"KOMUNALA RADGONA, javno podjetje d.o.o.","KOMUNALA RADGONA, javno podjetje d.o.o.",,"Partizanska cesta 13, 9250 Gornja Radgona",", KOMUNALA RADGONA, javno podjetje d.o.o."
"AL-MEDICO, zdravstvene in druge storitve, d.o.o.","AL-MEDICO, zdravstvene in druge storitve, d.o.o.",,"Dunajska cesta 49, 1000 Ljubljana",", AL-MEDICO, zdravstvene in druge storitve, d.o.o."
"ARJANA MAČEK, zdravstvene in druge storitve, d.o.o.","ARJANA MAČEK, zdravstvene in druge storitve, d.o.o.",,"Lepi pot 14, 1000 Ljubljana",", ARJANA MAČEK, zdravstvene in druge storitve, d.o.o."
"KLINIKA DOKTOR 24, zasebna zdravstvena ordinacija, d.o.o.","KLINIKA DOKTOR 24, zasebna zdravstvena ordinacija, d.o.o.",,"Savska cesta 3, 1000 Ljubljana",", KLINIKA DOKTOR 24, zasebna zdravstvena ordinacija, d.o.o."
"ARTROS, zdravstvena dejavnost d.o.o.","ARTROS, zdravstvena dejavnost d.o.o.",,"Tehnološki park 21, 1000 Ljubljana",", ARTROS, zdravstvena dejavnost d.o.o."
"NAL, Zobozdravstvena dejavnost, d.o.o.","NAL, Zobozdravstvena dejavnost, d.o.o.",,"Podgornikova ulica 1, 1000 Ljubljana",", NAL, Zobozdravstvena dejavnost, d.o.o."
"MEDICINSKI CENTER ŽELJKO HALAPIJA Ambulanta medicine dela, prometa in športa in splošna ambulanta d.o.o. Sevnica","MEDICINSKI CENTER ŽELJKO HALAPIJA Ambulanta medicine dela, prometa in športa in splošna ambulanta d.o.o. Sevnica",,"Trg svobode 14, 8290 Sevnica",", MEDICINSKI CENTER ŽELJKO HALAPIJA Ambulanta medicine dela, prometa in športa in splošna ambulanta d.o.o. Sevnica"
OSEN proizvodnja in oskrba z energijo d.o.o.,OSEN proizvodnja in oskrba z energijo d.o.o.,,"Cankarjeva cesta 4, 1000 Ljubljana",", OSEN proizvodnja in oskrba z energijo d.o.o."
"JAVNO PODJETJE KOMUNALA VODICE, d.o.o.","JAVNO PODJETJE KOMUNALA VODICE, d.o.o.",,"Kopitarjev trg 1, 1217 Vodice",", JAVNO PODJETJE KOMUNALA VODICE, d.o.o."
RCD svetovanje in storitve d.o.o.,RCD svetovanje in storitve d.o.o.,,"Ulica bratov Babnik 10, 1000 Ljubljana",", RCD svetovanje in storitve d.o.o."
OFTALMO okulistika d.o.o.,OFTALMO okulistika d.o.o.,,"Cesta 4. julija 34, 8270 Krško",", OFTALMO okulistika d.o.o."
"CUSPIS Zobozdravstvo, trgovina in ostale storitve d.o.o.","CUSPIS Zobozdravstvo, trgovina in ostale storitve d.o.o.",,"Podgorci 48, 2273 Podgorci",", CUSPIS Zobozdravstvo, trgovina in ostale storitve d.o.o."
"VETERINA JAGODIČ, veterinarska ambulanta Jagodič d.o.o.","VETERINA JAGODIČ, veterinarska ambulanta Jagodič d.o.o.",,"Dole 9, 3230 Šentjur",", VETERINA JAGODIČ, veterinarska ambulanta Jagodič d.o.o."
ŠUBIC-DIABETOLOGIJA interna medicina d.o.o.,ŠUBIC-DIABETOLOGIJA interna medicina d.o.o.,,"Loška ulica 6, 2000 Maribor",", ŠUBIC-DIABETOLOGIJA interna medicina d.o.o."
"RIVE, izgradnja in upravljanje doma starejših občanov v Ribnici d.o.o.","RIVE, izgradnja in upravljanje doma starejših občanov v Ribnici d.o.o.",,"Krošnjarska pot 2, 1310 Ribnica",", RIVE, izgradnja in upravljanje doma starejših občanov v Ribnici d.o.o."
"EKOEN d.o.o., družba za proizvodnjo in distribucijo ekološke energije","EKOEN d.o.o., družba za proizvodnjo in distribucijo ekološke energije",,"Luče 117 A, 3334 Luče",", EKOEN d.o.o., družba za proizvodnjo in distribucijo ekološke energije"
"NIKL KRAVOS, zdravstvena dejavnost, proizvodnja, trgovina, gostinstvo in storitve, d.o.o.","NIKL KRAVOS, zdravstvena dejavnost, proizvodnja, trgovina, gostinstvo in storitve, d.o.o.",,"Maistrova ulica 13, 2000 Maribor",", NIKL KRAVOS, zdravstvena dejavnost, proizvodnja, trgovina, gostinstvo in storitve, d.o.o."
ZALIVKA družba za zobozdravstveno dejavnost d.o.o,ZALIVKA družba za zobozdravstveno dejavnost d.o.o,,"Krekova ulica 14 A, 2000 Maribor",", ZALIVKA družba za zobozdravstveno dejavnost d.o.o"
DENTALCARE preventivna in otroška zobozdravstvena dejavnost d.o.o.,DENTALCARE preventivna in otroška zobozdravstvena dejavnost d.o.o.,,"Cesta krških žrtev 132 C, 8270 Krško",", DENTALCARE preventivna in otroška zobozdravstvena dejavnost d.o.o."
"STARK, zobozdravstvena dejavnost, projektiranje- inženiring in izobraževanje d.o.o.","STARK, zobozdravstvena dejavnost, projektiranje- inženiring in izobraževanje d.o.o.",,"Trnovski pristan 8, 1000 Ljubljana",", STARK, zobozdravstvena dejavnost, projektiranje- inženiring in izobraževanje d.o.o."
OKULISTIKA MEH d.o.o.,OKULISTIKA MEH d.o.o.,,"Sremič 15, 8270 Krško",", OKULISTIKA MEH d.o.o."
"VITANA, zobozdravstvena dejavnost d.o.o. Izlake","VITANA, zobozdravstvena dejavnost d.o.o. Izlake",,"Izlake 13, 1411 Izlake",", VITANA, zobozdravstvena dejavnost d.o.o. Izlake"
DENTIN družba za zobozdravstveno dejavnost d.o.o.,DENTIN družba za zobozdravstveno dejavnost d.o.o.,,"Na tratah 4, 2250 Ptuj",", DENTIN družba za zobozdravstveno dejavnost d.o.o."
"EUROMUR, Podjetje za poslovno svetovanje d.o.o. EUROMUR, Gazdasagi tanacsadoi vallalkozas Kft.","EUROMUR, Podjetje za poslovno svetovanje d.o.o. EUROMUR, Gazdasagi tanacsadoi vallalkozas Kft.",,"Mlinska ulica 6 A, 9220 Lendava - Lendva",", EUROMUR, Podjetje za poslovno svetovanje d.o.o. EUROMUR, Gazdasagi tanacsadoi vallalkozas Kft."
"ORTO-PED, ambulantna ortopedija, d.o.o.","ORTO-PED, ambulantna ortopedija, d.o.o.",,"Lamutova ulica 15, 1000 Ljubljana",", ORTO-PED, ambulantna ortopedija, d.o.o."
"CEROD, center za ravnanje z odpadki, d.o.o., javno podjetje","CEROD, center za ravnanje z odpadki, d.o.o., javno podjetje",,"Kettejev drevored 3, 8000 Novo mesto",", CEROD, center za ravnanje z odpadki, d.o.o., javno podjetje"
"MEDICODENT, zobozdravstvene storitve d.o.o.","MEDICODENT, zobozdravstvene storitve d.o.o.",,"Mariborska cesta 38, 2370 Dravograd",", MEDICODENT, zobozdravstvene storitve d.o.o."
"ZAPOSLITVENI CENTER JADRO družba za socialne dejavnosti, proizvodnjo, trgovino, poslovne storitve in druge storitve d.o.o.","ZAPOSLITVENI CENTER JADRO družba za socialne dejavnosti, proizvodnjo, trgovino, poslovne storitve in druge storitve d.o.o.",,"Dalmatinska ulica 1, 2000 Maribor",", ZAPOSLITVENI CENTER JADRO družba za socialne dejavnosti, proizvodnjo, trgovino, poslovne storitve in druge storitve d.o.o."
"AGENCIJA M SERVIS, Kadrovske storitve, d.o.o.","AGENCIJA M SERVIS, Kadrovske storitve, d.o.o.",,"Slovenski trg 8, 4000 Kranj",", AGENCIJA M SERVIS, Kadrovske storitve, d.o.o."
"MEDIARH, Podjetje za zdravstvene in projektantske storitve d.o.o.","MEDIARH, Podjetje za zdravstvene in projektantske storitve d.o.o.",,"Ob Suhodolnici 31, 2380 Slovenj Gradec",", MEDIARH, Podjetje za zdravstvene in projektantske storitve d.o.o."
INTERNISTIČNA GE AMBULANTA d.o.o.,INTERNISTIČNA GE AMBULANTA d.o.o.,,"Erjavčeva ulica 29, 5000 Nova Gorica",", INTERNISTIČNA GE AMBULANTA d.o.o."
"STIPES, proizvodnja, trgovina, finance, nepremičnine, zobozdravstvene in druge storitve, d.o.o.","STIPES, proizvodnja, trgovina, finance, nepremičnine, zobozdravstvene in druge storitve, d.o.o.",,"Ulica Borisa Winterja 10, 2310 Slovenska Bistrica",", STIPES, proizvodnja, trgovina, finance, nepremičnine, zobozdravstvene in druge storitve, d.o.o."
"DIMNIKARSTVO LAPUH, storitve d.o.o.","DIMNIKARSTVO LAPUH, storitve d.o.o.",,"Liptovska ulica 19, 3210 Slovenske Konjice",", DIMNIKARSTVO LAPUH, storitve d.o.o."
"VITA ET SOL družba za zdravstvo, storitve, posredništvo, trgovino in gostinstvo d.o.o.","VITA ET SOL družba za zdravstvo, storitve, posredništvo, trgovino in gostinstvo d.o.o.",,"Devinska ulica 11, 2310 Slovenska Bistrica",", VITA ET SOL družba za zdravstvo, storitve, posredništvo, trgovino in gostinstvo d.o.o."
DENTALNI STUDIO ŠKORJANC d.o.o.,DENTALNI STUDIO ŠKORJANC d.o.o.,,"Dunajska cesta 198, 1000 Ljubljana",", DENTALNI STUDIO ŠKORJANC d.o.o."
"TSmedia, medijske vsebine in storitve, d.o.o.","TSmedia, medijske vsebine in storitve, d.o.o.",,"Cigaletova ulica 15, 1000 Ljubljana",", TSmedia, medijske vsebine in storitve, d.o.o."
SPE VIVIMUS specialistične dejavnosti d.o.o.,SPE VIVIMUS specialistične dejavnosti d.o.o.,,"Pot na Polšco 21, 8270 Krško",", SPE VIVIMUS specialistične dejavnosti d.o.o."
"LUKANA, trženje, svetovanje in storitve, d.o.o.","LUKANA, trženje, svetovanje in storitve, d.o.o.",,"Veselova ulica 13, 3000 Celje",", LUKANA, trženje, svetovanje in storitve, d.o.o."
"PRAVOVID, očesna ordinacija Maja Sojer Štular, dr. med., spec. oftalmolog, d.o.o.","PRAVOVID, očesna ordinacija Maja Sojer Štular, dr. med., spec. oftalmolog, d.o.o.",,"Ukmarjeva ulica 4, 1000 Ljubljana",", PRAVOVID, očesna ordinacija Maja Sojer Štular, dr. med., spec. oftalmolog, d.o.o."
"PRENADENT, zobozdravstvene storitve d.o.o.","PRENADENT, zobozdravstvene storitve d.o.o.",,"Draga 1, 1292 Ig",", PRENADENT, zobozdravstvene storitve d.o.o."
EKOENERGETIKA-DIMNIKARSTVO družba za varstvo okolja d.o.o.,EKOENERGETIKA-DIMNIKARSTVO družba za varstvo okolja d.o.o.,,"Vrazova ulica 9, 2270 Ormož",", EKOENERGETIKA-DIMNIKARSTVO družba za varstvo okolja d.o.o."
"POSLOVNA CONA KOMENDA, družba za upravljanje z nepremičninami, d.o.o.","POSLOVNA CONA KOMENDA, družba za upravljanje z nepremičninami, d.o.o.",,"Pod lipami 10, 1218 Komenda",", POSLOVNA CONA KOMENDA, družba za upravljanje z nepremičninami, d.o.o."
"OČESNI CENTER OPTIMIST, specialistična ambulantna zdravstvena dejavnost, d.o.o.","OČESNI CENTER OPTIMIST, specialistična ambulantna zdravstvena dejavnost, d.o.o.",,"Maleševa ulica 36, 1000 Ljubljana",", OČESNI CENTER OPTIMIST, specialistična ambulantna zdravstvena dejavnost, d.o.o."
TEHNOLOŠKI PARK IN INKUBATOR AJDOVŠČINA d.o.o.,TEHNOLOŠKI PARK IN INKUBATOR AJDOVŠČINA d.o.o.,,"Cesta 5. maja 6 A, 5270 Ajdovščina",", TEHNOLOŠKI PARK IN INKUBATOR AJDOVŠČINA d.o.o."
"PV INVEST, upravljanje naložb, institucionalno varstvo starejših in ostale storitve, d.o.o.","PV INVEST, upravljanje naložb, institucionalno varstvo starejših in ostale storitve, d.o.o.",,"Koroška cesta 62 B, 3320 Velenje",", PV INVEST, upravljanje naložb, institucionalno varstvo starejših in ostale storitve, d.o.o."
"OKLEŠEN, pogrebne storitve d.o.o.","OKLEŠEN, pogrebne storitve d.o.o.",,"K Roku 26, 8000 Novo mesto",", OKLEŠEN, pogrebne storitve d.o.o."
"ORTOESTETIK družba za zdravstveno dejavnost, nepremičnine, trgovino, posredništvo, finance, gostinstvo in druge storitve d.o.o.","ORTOESTETIK družba za zdravstveno dejavnost, nepremičnine, trgovino, posredništvo, finance, gostinstvo in druge storitve d.o.o.",,"Meljski dol 36, 2000 Maribor",", ORTOESTETIK družba za zdravstveno dejavnost, nepremičnine, trgovino, posredništvo, finance, gostinstvo in druge storitve d.o.o."
TOPLOTNA OSKRBA Družba za proizvodnjo in distribucijo toplotne energije d.o.o.,TOPLOTNA OSKRBA Družba za proizvodnjo in distribucijo toplotne energije d.o.o.,,"Cesta v Železnik 8, 3215 Loče",", TOPLOTNA OSKRBA Družba za proizvodnjo in distribucijo toplotne energije d.o.o."
PETER PAN storitve d.o.o.,PETER PAN storitve d.o.o.,,"Cankarjeva cesta 12 B, 1241 Kamnik",", PETER PAN storitve d.o.o."
"LARA MED, zdravstvene storitve,trženje in svetovanje, d.o.o.","LARA MED, zdravstvene storitve,trženje in svetovanje, d.o.o.",,"Dobroveljska cesta 1, 3214 Zreče",", LARA MED, zdravstvene storitve,trženje in svetovanje, d.o.o."
ZOBOZDRAVSTVO MUC zobozdravstvena dejavnost d.o.o.,ZOBOZDRAVSTVO MUC zobozdravstvena dejavnost d.o.o.,,"Ulica na Pristavah 1, 8340 Črnomelj",", ZOBOZDRAVSTVO MUC zobozdravstvena dejavnost d.o.o."
"KOROŠKA REGIONALNA TELEVIZIJA, družba za medijsko in propagandno dejavnost, d.o.o.","KOROŠKA REGIONALNA TELEVIZIJA, družba za medijsko in propagandno dejavnost, d.o.o.",,"Pameče 100 B, 2380 Slovenj Gradec",", KOROŠKA REGIONALNA TELEVIZIJA, družba za medijsko in propagandno dejavnost, d.o.o."
DOM STAREJŠIH OBČANOV GORNJA RADGONA d.o.o.,DOM STAREJŠIH OBČANOV GORNJA RADGONA d.o.o.,,"Trate 40, 9250 Gornja Radgona",", DOM STAREJŠIH OBČANOV GORNJA RADGONA d.o.o."
"EMOTIVA zdravstvena dejavnost, svetovanje in storitve, d.o.o.","EMOTIVA zdravstvena dejavnost, svetovanje in storitve, d.o.o.",,"Valjavčeva ulica 27, 4000 Kranj",", EMOTIVA zdravstvena dejavnost, svetovanje in storitve, d.o.o."
KLANMEDIC Diagnostični in terapevtski center d.o.o.,KLANMEDIC Diagnostični in terapevtski center d.o.o.,,"Cesta Prekomorskih brigad 3 B, 5290 Šempeter pri Gorici",", KLANMEDIC Diagnostični in terapevtski center d.o.o."
"DARUMA, Center za otroško in mladostniško psihiatrijo, d.o.o.","DARUMA, Center za otroško in mladostniško psihiatrijo, d.o.o.",,"Dunajska cesta 31, 1000 Ljubljana",", DARUMA, Center za otroško in mladostniško psihiatrijo, d.o.o."
"LAHEZIS, Center za otroško in mladostniško psihiatrijo, d.o.o.","LAHEZIS, Center za otroško in mladostniško psihiatrijo, d.o.o.",,"Tabor 14, 1000 Ljubljana",", LAHEZIS, Center za otroško in mladostniško psihiatrijo, d.o.o."
"VETERINARSKA AMBULANTA USAR družba za storitve, trgovino, veterinarstvo d.o.o.","VETERINARSKA AMBULANTA USAR družba za storitve, trgovino, veterinarstvo d.o.o.",,"Korenska cesta 14, 2241 Spodnji Duplek",", VETERINARSKA AMBULANTA USAR družba za storitve, trgovino, veterinarstvo d.o.o."
"SVETOVANJE DR.KUHAR psihiatrična ambulanta, svetovanje, psihoterapija d.o.o.","SVETOVANJE DR.KUHAR psihiatrična ambulanta, svetovanje, psihoterapija d.o.o.",,"Podpeška cesta 208, 1351 Brezovica pri Ljubljani",", SVETOVANJE DR.KUHAR psihiatrična ambulanta, svetovanje, psihoterapija d.o.o."
"ANIMULA, Center za otroško in mladostniško psihiatrijo, d.o.o.","ANIMULA, Center za otroško in mladostniško psihiatrijo, d.o.o.",,"Dunajska cesta 31, 1000 Ljubljana",", ANIMULA, Center za otroško in mladostniško psihiatrijo, d.o.o."
"PKM, Psihiatrija Kocmur Marga, d.o.o.","PKM, Psihiatrija Kocmur Marga, d.o.o.",,"Zarnikova ulica 11, 1000 Ljubljana",", PKM, Psihiatrija Kocmur Marga, d.o.o."
AMBULANTA DEMŠAR d.o.o.,AMBULANTA DEMŠAR d.o.o.,,"Visoko pri Poljanah 5, 4220 Škofja Loka",", AMBULANTA DEMŠAR d.o.o."
POLJE HARMONIJE družba za kakovost življenja d.o.o.,POLJE HARMONIJE družba za kakovost življenja d.o.o.,,"Štefan pri Trebnjem 40, 8210 Trebnje",", POLJE HARMONIJE družba za kakovost življenja d.o.o."
"CENTER ZA STAREJŠE OBČANE LUCIJA, oskrba in varstvo starejših oseb in druge storitve d.o.o.","CENTER ZA STAREJŠE OBČANE LUCIJA, oskrba in varstvo starejših oseb in druge storitve d.o.o.",,"Seča 197 B, 6320 Portorož - Portorose",", CENTER ZA STAREJŠE OBČANE LUCIJA, oskrba in varstvo starejših oseb in druge storitve d.o.o."
"DOM STAREJŠIH OBČANOV LENART, družba za storitve, d.o.o.","DOM STAREJŠIH OBČANOV LENART, družba za storitve, d.o.o.",,"Gubčeva ulica 5, 2230 Lenart v Slov. goricah",", DOM STAREJŠIH OBČANOV LENART, družba za storitve, d.o.o."
"TOP ENERGIJA celovita oskrba z energijo, družba za proizvodnjo, trgovino in storitve d.o.o.","TOP ENERGIJA celovita oskrba z energijo, družba za proizvodnjo, trgovino in storitve d.o.o.",,"Puhova ulica 10, 2250 Ptuj",", TOP ENERGIJA celovita oskrba z energijo, družba za proizvodnjo, trgovino in storitve d.o.o."
"MEDICEP, preventivna ambulanta, svetovanje, nadzor in projektiranje d.o.o.","MEDICEP, preventivna ambulanta, svetovanje, nadzor in projektiranje d.o.o.",,"Grajska pot 17, 4220 Škofja Loka",", MEDICEP, preventivna ambulanta, svetovanje, nadzor in projektiranje d.o.o."
"DOM LIPA, družba za socialno varstvene dejavnosti, d.o.o.","DOM LIPA, družba za socialno varstvene dejavnosti, d.o.o.",,"Avčinova ulica 19, 1000 Ljubljana",", DOM LIPA, družba za socialno varstvene dejavnosti, d.o.o."
"ZOBOZDRAVSTVO KOZINA, zobozdravstvene storitve, d.o.o.","ZOBOZDRAVSTVO KOZINA, zobozdravstvene storitve, d.o.o.",,"Majnikova ulica 1, 1310 Ribnica",", ZOBOZDRAVSTVO KOZINA, zobozdravstvene storitve, d.o.o."
"OKULISTIKA FALEŽ oftalmološki ambulantni center, optika in storitve d.o.o.","OKULISTIKA FALEŽ oftalmološki ambulantni center, optika in storitve d.o.o.",,"Vilenska cesta 76, 2312 Orehova vas",", OKULISTIKA FALEŽ oftalmološki ambulantni center, optika in storitve d.o.o."
"ACIES BIO, biotehnološke raziskave in razvoj, d.o.o.","ACIES BIO, biotehnološke raziskave in razvoj, d.o.o.",,"Tehnološki park 21, 1000 Ljubljana",", ACIES BIO, biotehnološke raziskave in razvoj, d.o.o."
DISPANZER ZA ZDRAVSTVENO VARSTVO OTROK IN MLADOSTNIKOV d.o.o.,DISPANZER ZA ZDRAVSTVENO VARSTVO OTROK IN MLADOSTNIKOV d.o.o.,,"Prešernova ulica 6, 3310 Žalec",", DISPANZER ZA ZDRAVSTVENO VARSTVO OTROK IN MLADOSTNIKOV d.o.o."
