Ime,Prikazano ime,Glavna e-pošta:,Naslov v službi,Organizacija
ROJS SERGEJ - NOTAR,ROJS SERGEJ - NOTAR,,"Aškerčev trg 2, 3240 Šmarje pri Jelšah",", ROJS SERGEJ - NOTAR"
FINK KATJA - NOTARKA,FINK KATJA - NOTARKA,,"Stanetova ulica 16, 3000 Celje",", FINK KATJA - NOTARKA"
KOŠAK MIRO - NOTAR,KOŠAK MIRO - NOTAR,,"Trg republike 3, 1000 Ljubljana",", KOŠAK MIRO - NOTAR"
SIKOŠEK JOŽE - NOTAR,SIKOŠEK JOŽE - NOTAR,,"Bravničarjeva ulica 13, 1000 Ljubljana",", SIKOŠEK JOŽE - NOTAR"
UROŠ MARGUČ - NOTAR,UROŠ MARGUČ - NOTAR,,"Mestni trg 8, 3210 Slovenske Konjice",", UROŠ MARGUČ - NOTAR"
NOTARKA - MARIJA MURNIK,NOTARKA - MARIJA MURNIK,,"Koroška cesta 21, 4000 Kranj",", NOTARKA - MARIJA MURNIK"
MATEJA ANDREJAŠIČ - NOTARKA,MATEJA ANDREJAŠIČ - NOTARKA,,"Koroška cesta 19, 4000 Kranj",", MATEJA ANDREJAŠIČ - NOTARKA"
NOTARKA MAG. ALENKA RATNIK,NOTARKA MAG. ALENKA RATNIK,,"Kocljeva ulica 14 A, 9000 Murska Sobota",", NOTARKA MAG. ALENKA RATNIK"
NANA POVŠIČ RUŽIĆ - NOTARKA,NANA POVŠIČ RUŽIĆ - NOTARKA,,"Kajuhova ulica 34, 6310 Izola - Isola",", NANA POVŠIČ RUŽIĆ - NOTARKA"
NOTARKA JANJA LUIN,NOTARKA JANJA LUIN,,"Ferrarska ulica 30, 6000 Koper - Capodistria",", NOTARKA JANJA LUIN"
IVAN ŽETKO - NOTAR,IVAN ŽETKO - NOTAR,,"Rozmanova ulica 34 A, 8000 Novo mesto",", IVAN ŽETKO - NOTAR"
NOTAR - BORIS KOSI,NOTAR - BORIS KOSI,,"Partizanska cesta 13 A, 2000 Maribor",", NOTAR - BORIS KOSI"
EDITA ŠPITALAR - NOTARKA,EDITA ŠPITALAR - NOTARKA,,"Ljubljanska ulica 42, 2000 Maribor",", EDITA ŠPITALAR - NOTARKA"
BUKOVIČ INES - NOTARKA,BUKOVIČ INES - NOTARKA,,"Ulica Vita Kraigherja 5, 2000 Maribor",", BUKOVIČ INES - NOTARKA"
KOŠAR BRATUŠA KSENIJA - NOTARKA,KOŠAR BRATUŠA KSENIJA - NOTARKA,,"Cankarjeva ulica 6, 2000 Maribor",", KOŠAR BRATUŠA KSENIJA - NOTARKA"
KOS UROŠ - NOTAR,KOS UROŠ - NOTAR,,"Cigaletova ulica 7, 1000 Ljubljana",", KOS UROŠ - NOTAR"
ALEKSANDER MRAZ - NOTAR,ALEKSANDER MRAZ - NOTAR,,"Ljubljanska cesta 5, 3000 Celje",", ALEKSANDER MRAZ - NOTAR"
NOTARKA FRANČIŠKA PERSEA CETIN,NOTARKA FRANČIŠKA PERSEA CETIN,,"Rudarska cesta 6 A, 3320 Velenje",", NOTARKA FRANČIŠKA PERSEA CETIN"
