Ime,Prikazano ime,Glavna e-pošta:,Naslov v službi,Organizacija
"EKOEN d.o.o., družba za proizvodnjo in distribucijo ekološke energije","EKOEN d.o.o., družba za proizvodnjo in distribucijo ekološke energije",,"Luče 117 A, 3334 Luče",", EKOEN d.o.o., družba za proizvodnjo in distribucijo ekološke energije"
INŠTITUT ZA KONTROLO IN CERTIFIKACIJO UNIVERZE V MARIBORU za tehnično preizkušanje in analiziranje,INŠTITUT ZA KONTROLO IN CERTIFIKACIJO UNIVERZE V MARIBORU za tehnično preizkušanje in analiziranje,,"Pivola 8, 2311 Hoče",", INŠTITUT ZA KONTROLO IN CERTIFIKACIJO UNIVERZE V MARIBORU za tehnično preizkušanje in analiziranje"
BIOENERGETIKA TODRAŽ d.o.o.,BIOENERGETIKA TODRAŽ d.o.o.,,"Todraž 1, 4224 Gorenja vas",", BIOENERGETIKA TODRAŽ d.o.o."
"LABORATORIJSKI SISTEMI, družba za tehnično preizkušanje, analizo, trgovino in storitve, d.o.o.","LABORATORIJSKI SISTEMI, družba za tehnično preizkušanje, analizo, trgovino in storitve, d.o.o.",,"Prečna ulica 9 B, 2000 Maribor",", LABORATORIJSKI SISTEMI, družba za tehnično preizkušanje, analizo, trgovino in storitve, d.o.o."
"PERKO TEHTNICE, prodaja, proizvodnja in servis d.o.o.","PERKO TEHTNICE, prodaja, proizvodnja in servis d.o.o.",,"Zalog 2, 4204 Golnik",", PERKO TEHTNICE, prodaja, proizvodnja in servis d.o.o."
"SAB, varovanje in storitve, d.o.o.","SAB, varovanje in storitve, d.o.o.",,"Gorkijeva ulica 14, 6310 Izola - Isola",", SAB, varovanje in storitve, d.o.o."
DRUŠTVO ZA RAZVOJ PODEŽELJA ZASAVJE,DRUŠTVO ZA RAZVOJ PODEŽELJA ZASAVJE,,"Cesta 9. avgusta 78 A, 1410 Zagorje ob Savi",", DRUŠTVO ZA RAZVOJ PODEŽELJA ZASAVJE"
"ENERGODIM, čiščenje in pregledovanje kurilnih in prezračevalnih naprav ter meritve dimnih emisij, d.o.o.","ENERGODIM, čiščenje in pregledovanje kurilnih in prezračevalnih naprav ter meritve dimnih emisij, d.o.o.",,"Partizanska cesta 6, 1381 Rakek",", ENERGODIM, čiščenje in pregledovanje kurilnih in prezračevalnih naprav ter meritve dimnih emisij, d.o.o."
ČAS - Zasebna šola za varnostno izobraževanje d.o.o.,ČAS - Zasebna šola za varnostno izobraževanje d.o.o.,,"Cesta Andreja Bitenca 68, 1000 Ljubljana",", ČAS - Zasebna šola za varnostno izobraževanje d.o.o."
"LAS Mežiške doline, lokalna akcijska skupina za razvoj podeželja, z.b.o.","LAS Mežiške doline, lokalna akcijska skupina za razvoj podeželja, z.b.o.",,"Center 101, 2393 Črna na Koroškem",", LAS Mežiške doline, lokalna akcijska skupina za razvoj podeželja, z.b.o."
Izobraževalni center Geoss d.o.o.,Izobraževalni center Geoss d.o.o.,,"Cesta komandanta Staneta 2, 1270 Litija",", Izobraževalni center Geoss d.o.o."
"Izobraževalni center Memory, izobraževanje in svetovanje d.o.o.","Izobraževalni center Memory, izobraževanje in svetovanje d.o.o.",,"Dutovlje 32, 6221 Dutovlje",", Izobraževalni center Memory, izobraževanje in svetovanje d.o.o."
"KARNIKA, zavod za osebno pomoč, svetovanje in razvoj znanja","KARNIKA, zavod za osebno pomoč, svetovanje in razvoj znanja",,"Vrtna ulica 24, 4294 Križe",", KARNIKA, zavod za osebno pomoč, svetovanje in razvoj znanja"
Mrežni podjetniški inkubator Vrelec d.o.o.,Mrežni podjetniški inkubator Vrelec d.o.o.,,"Prvomajska ulica 35, 3250 Rogaška Slatina",", Mrežni podjetniški inkubator Vrelec d.o.o."
"MERITVE SI, KALIBRACIJE IN OVERJANJE, D.O.O.","MERITVE SI, KALIBRACIJE IN OVERJANJE, D.O.O.",,"Britof 412, 4000 Kranj",", MERITVE SI, KALIBRACIJE IN OVERJANJE, D.O.O."
RACE KOGO razvojni center koroškega gospodarstva d.o.o.,RACE KOGO razvojni center koroškega gospodarstva d.o.o.,,"Ozare 19, 2380 Slovenj Gradec",", RACE KOGO razvojni center koroškega gospodarstva d.o.o."
LOVSKA DRUŽINA BRJE - ERZELJ,LOVSKA DRUŽINA BRJE - ERZELJ,,"Erzelj 17, 5271 Vipava",", LOVSKA DRUŽINA BRJE - ERZELJ"
JAMARSKO DRUŠTVO SIMON ZIMA - GORJE,JAMARSKO DRUŠTVO SIMON ZIMA - GORJE,,"Grabče 3, 4247 Zgornje Gorje",", JAMARSKO DRUŠTVO SIMON ZIMA - GORJE"
