Ime,Prikazano ime,Glavna e-pošta:,Naslov v službi,Organizacija
GOVC-ČETINA IRENA - ZASEBNA GINEKOLOŠKA AMBULANTA ZA ŽENE,GOVC-ČETINA IRENA - ZASEBNA GINEKOLOŠKA AMBULANTA ZA ŽENE,,"Rimska cesta 70, 3311 Šempeter v Savinjski dolini",", GOVC-ČETINA IRENA - ZASEBNA GINEKOLOŠKA AMBULANTA ZA ŽENE"
DOBNIKAR IRENA - ZASEBNA ZOBNA ORDINACIJA,DOBNIKAR IRENA - ZASEBNA ZOBNA ORDINACIJA,,"Novi trg 26, 1241 Kamnik",", DOBNIKAR IRENA - ZASEBNA ZOBNA ORDINACIJA"
VERŠNIK TANJA - LEKARNA GORNJI GRAD,VERŠNIK TANJA - LEKARNA GORNJI GRAD,,"Tlaka 10, 3342 Gornji grad",", VERŠNIK TANJA - LEKARNA GORNJI GRAD"
ŠMID MINKA - PATRONAŽNO VARSTVO,ŠMID MINKA - PATRONAŽNO VARSTVO,,"Racovnik 29, 4228 Železniki",", ŠMID MINKA - PATRONAŽNO VARSTVO"
ZASEBNA ZOBNA AMBULANTA ZA ODRASLE KELAIDIS GEORGE DR.DENT.MED.,ZASEBNA ZOBNA AMBULANTA ZA ODRASLE KELAIDIS GEORGE DR.DENT.MED.,,"Trg svobode 18 A, 2390 Ravne na Koroškem",", ZASEBNA ZOBNA AMBULANTA ZA ODRASLE KELAIDIS GEORGE DR.DENT.MED."
ŠIFTAR TEREZIJA - PATRONAŽNO VARSTVO,ŠIFTAR TEREZIJA - PATRONAŽNO VARSTVO,,"Bleiweisova cesta 6, 4000 Kranj",", ŠIFTAR TEREZIJA - PATRONAŽNO VARSTVO"
VIZJAK LIDIJA - PATRONAŽNO VARSTVO,VIZJAK LIDIJA - PATRONAŽNO VARSTVO,,"Bleiweisova cesta 6, 4000 Kranj",", VIZJAK LIDIJA - PATRONAŽNO VARSTVO"
ANŽIČ MARIJA - PATRONAŽNO VARSTVO,ANŽIČ MARIJA - PATRONAŽNO VARSTVO,,"Bleiweisova cesta 6, 4000 Kranj",", ANŽIČ MARIJA - PATRONAŽNO VARSTVO"
POŽAR ANDREJA - PATRONAŽNO VARSTVO,POŽAR ANDREJA - PATRONAŽNO VARSTVO,,"Bleiweisova cesta 6, 4000 Kranj",", POŽAR ANDREJA - PATRONAŽNO VARSTVO"
ŠENK MATEJA - PATRONAŽNO VARSTVO,ŠENK MATEJA - PATRONAŽNO VARSTVO,,"Bleiweisova cesta 6, 4000 Kranj",", ŠENK MATEJA - PATRONAŽNO VARSTVO"
MOLAN SLAVICA - PATRONAŽA IN ZDRAVSTVENA NEGA,MOLAN SLAVICA - PATRONAŽA IN ZDRAVSTVENA NEGA,,"Dolenja vas pri Artičah 8 A, 8253 Artiče",", MOLAN SLAVICA - PATRONAŽA IN ZDRAVSTVENA NEGA"
UKMAR SONJA - ORDINACIJA DRUŽINSKE MEDICINE,UKMAR SONJA - ORDINACIJA DRUŽINSKE MEDICINE,,"Cesta na Brdo 63, 1000 Ljubljana",", UKMAR SONJA - ORDINACIJA DRUŽINSKE MEDICINE"
LOVŠIN URŠKA - ZOBOZDRAVSTVENA ORDINACIJA,LOVŠIN URŠKA - ZOBOZDRAVSTVENA ORDINACIJA,,"Partizanska pot 8 A, 1270 Litija",", LOVŠIN URŠKA - ZOBOZDRAVSTVENA ORDINACIJA"
ELGO-NOVA družba za poslovne storitve d.o.o.,ELGO-NOVA družba za poslovne storitve d.o.o.,,"Podskrajnik 83, 1380 Cerknica",", ELGO-NOVA družba za poslovne storitve d.o.o."
RRA KOROŠKA regionalna razvojna agencija za Koroško regijo d.o.o.,RRA KOROŠKA regionalna razvojna agencija za Koroško regijo d.o.o.,,"Meža 10, 2370 Dravograd",", RRA KOROŠKA regionalna razvojna agencija za Koroško regijo d.o.o."
"IZOBRAŽEVALNO RAZVOJNI ZAVOD IZRAZ, LJUBLJANA","IZOBRAŽEVALNO RAZVOJNI ZAVOD IZRAZ, LJUBLJANA",,"Poklukarjeva ulica 70, 1000 Ljubljana",", IZOBRAŽEVALNO RAZVOJNI ZAVOD IZRAZ, LJUBLJANA"
"SKALDENS, zasebni zdravstveni zavod","SKALDENS, zasebni zdravstveni zavod",,"Ulica bratov Jančar 25, 1000 Ljubljana",", SKALDENS, zasebni zdravstveni zavod"
WAHIBI RAID - ZASEBNA ZOBNA AMBULANTA,WAHIBI RAID - ZASEBNA ZOBNA AMBULANTA,,"Gregorčičeva ulica 5, 3000 Celje",", WAHIBI RAID - ZASEBNA ZOBNA AMBULANTA"
PANTAR BARBARA - FIZIOTERAPIJA,PANTAR BARBARA - FIZIOTERAPIJA,,"Na jami 20, 1000 Ljubljana",", PANTAR BARBARA - FIZIOTERAPIJA"
"POLO - DENT, zobozdravstvena dejavnost, d.o.o.","POLO - DENT, zobozdravstvena dejavnost, d.o.o.",,"Petkova ulica 16, 1231 Ljubljana - Črnuče",", POLO - DENT, zobozdravstvena dejavnost, d.o.o."
ZDRAVSTVENI CENTER DRAVLJE d.o.o.,ZDRAVSTVENI CENTER DRAVLJE d.o.o.,,"Cesta na Poljane 24, 1210 Ljubljana - Šentvid",", ZDRAVSTVENI CENTER DRAVLJE d.o.o."
PROSTOVOLJNO GASILSKO DRUŠTVO DRAŽGOŠE,PROSTOVOLJNO GASILSKO DRUŠTVO DRAŽGOŠE,,"Dražgoše 35 A, 4228 Železniki",", PROSTOVOLJNO GASILSKO DRUŠTVO DRAŽGOŠE"
DRUŠTVO GORSKE REŠEVALNE SLUŽBE ŠKOFJA LOKA,DRUŠTVO GORSKE REŠEVALNE SLUŽBE ŠKOFJA LOKA,,"Kidričeva cesta 51 A, 4220 Škofja Loka",", DRUŠTVO GORSKE REŠEVALNE SLUŽBE ŠKOFJA LOKA"
KOSTEVC ŽELJKA - PATRONAŽA IN ZDRAVSTVENA NEGA,KOSTEVC ŽELJKA - PATRONAŽA IN ZDRAVSTVENA NEGA,,"Aškerčeva ulica 2, 8270 Krško",", KOSTEVC ŽELJKA - PATRONAŽA IN ZDRAVSTVENA NEGA"
"ZOBOZDRAVSTVENA ORDINACIJA DAVID BIZJAK, DR. DENT. MED.","ZOBOZDRAVSTVENA ORDINACIJA DAVID BIZJAK, DR. DENT. MED.",,"Gosposvetska ulica 10 A, 4000 Kranj",", ZOBOZDRAVSTVENA ORDINACIJA DAVID BIZJAK, DR. DENT. MED."
ANŽIČ NEDILJKA - PATRONAŽA IN ZDRAVSTVENA NEGA NA DOMU,ANŽIČ NEDILJKA - PATRONAŽA IN ZDRAVSTVENA NEGA NA DOMU,,"Zagorica 13, 1292 Ig",", ANŽIČ NEDILJKA - PATRONAŽA IN ZDRAVSTVENA NEGA NA DOMU"
GOSENAR d.o.o. prevozi in storitve,GOSENAR d.o.o. prevozi in storitve,,"Blatnik pri Črnomlju 6, 8340 Črnomelj",", GOSENAR d.o.o. prevozi in storitve"
NORČIČ-BERCE ANDREJA - ZOBNA AMBULANTA,NORČIČ-BERCE ANDREJA - ZOBNA AMBULANTA,,"Cvetkova ulica 10, 9000 Murska Sobota",", NORČIČ-BERCE ANDREJA - ZOBNA AMBULANTA"
"ŠTUDENTSKI, posredovanje dela in ostale poslovne storitve d.o.o.","ŠTUDENTSKI, posredovanje dela in ostale poslovne storitve d.o.o.",,"Ljubljanska cesta 3 A, 3000 Celje",", ŠTUDENTSKI, posredovanje dela in ostale poslovne storitve d.o.o."
MEDITRANS zasebna reševalna postaja d.o.o.,MEDITRANS zasebna reševalna postaja d.o.o.,,"Prečna ulica 2, 6230 Postojna",", MEDITRANS zasebna reševalna postaja d.o.o."
"LESKOVEC, storitve, d.o.o.","LESKOVEC, storitve, d.o.o.",,"Plešičeva ulica 15, 1000 Ljubljana",", LESKOVEC, storitve, d.o.o."
"DENTAL DESIGN, zobozdravstvene in zobotehnične storitve, svetovanje, uvoz in izvoz, d.o.o.","DENTAL DESIGN, zobozdravstvene in zobotehnične storitve, svetovanje, uvoz in izvoz, d.o.o.",,"Javorškova ulica 9, 1315 Velike Lašče",", DENTAL DESIGN, zobozdravstvene in zobotehnične storitve, svetovanje, uvoz in izvoz, d.o.o."
"ZAVOD JELŠA - Center za izobraževanje, usposabljanje in rehabilitacijo","ZAVOD JELŠA - Center za izobraževanje, usposabljanje in rehabilitacijo",,"Cesta železarjev 8, 4270 Jesenice",", ZAVOD JELŠA - Center za izobraževanje, usposabljanje in rehabilitacijo"
"ZAVOD RUJ- Center za izobraževanje, usposabljanje in rehabilitacijo, Velenje","ZAVOD RUJ- Center za izobraževanje, usposabljanje in rehabilitacijo, Velenje",,"Obrtniška ulica 17, 3331 Nazarje",", ZAVOD RUJ- Center za izobraževanje, usposabljanje in rehabilitacijo, Velenje"
Lek farmacevtska družba d.d.,Lek farmacevtska družba d.d.,,"Verovškova ulica 57, 1000 Ljubljana",", Lek farmacevtska družba d.d."
Lekarna Šalara - TJAŠA PODREKA,Lekarna Šalara - TJAŠA PODREKA,,"Obrtniška ulica 30, 6000 Koper - Capodistria",", Lekarna Šalara - TJAŠA PODREKA"
ZASEBNA FIZIOTERAPIJA VALERIJA PRETNAR RAMOVŠ,ZASEBNA FIZIOTERAPIJA VALERIJA PRETNAR RAMOVŠ,,"Racovnik 29, 4228 Železniki",", ZASEBNA FIZIOTERAPIJA VALERIJA PRETNAR RAMOVŠ"
"MEDICOCONSULTING, MARJANCA KUŽNAR JUGOVAR S.P.","MEDICOCONSULTING, MARJANCA KUŽNAR JUGOVAR S.P.",,"Celjska cesta 7, 3250 Rogaška Slatina",", MEDICOCONSULTING, MARJANCA KUŽNAR JUGOVAR S.P."
MALINGER MARTIN LUKA DR.STOM. - STOMATOLOŠKA ORDINACIJA,MALINGER MARTIN LUKA DR.STOM. - STOMATOLOŠKA ORDINACIJA,,"Gregorčičeva ulica 5, 3000 Celje",", MALINGER MARTIN LUKA DR.STOM. - STOMATOLOŠKA ORDINACIJA"
ŠMIGOC MOJCA DR.DENT.MED. - ZASEBNA ZOBNA ORDINACIJA,ŠMIGOC MOJCA DR.DENT.MED. - ZASEBNA ZOBNA ORDINACIJA,,"Gregorčičeva ulica 5, 3000 Celje",", ŠMIGOC MOJCA DR.DENT.MED. - ZASEBNA ZOBNA ORDINACIJA"
STRAMŠAK IVANA - ZASEBNA ZDRAVSTVENA DELAVKA - LOGOPEDINJA,STRAMŠAK IVANA - ZASEBNA ZDRAVSTVENA DELAVKA - LOGOPEDINJA,,"Mestni trg 17, 3210 Slovenske Konjice",", STRAMŠAK IVANA - ZASEBNA ZDRAVSTVENA DELAVKA - LOGOPEDINJA"
RONALD NOVAK DR.DENT.MED. - ZASEBNA ZOBOZDRAVSTVENA AMBULANTA,RONALD NOVAK DR.DENT.MED. - ZASEBNA ZOBOZDRAVSTVENA AMBULANTA,,"Prešernova ulica 6, 3310 Žalec",", RONALD NOVAK DR.DENT.MED. - ZASEBNA ZOBOZDRAVSTVENA AMBULANTA"
ZASEBNA AMBULANTA SPLOŠNE MEDICINE DRAGANA PERUŠINA ĐUKIČ DR. MED.,ZASEBNA AMBULANTA SPLOŠNE MEDICINE DRAGANA PERUŠINA ĐUKIČ DR. MED.,,"Kolodvorska cesta 24, 6257 Pivka",", ZASEBNA AMBULANTA SPLOŠNE MEDICINE DRAGANA PERUŠINA ĐUKIČ DR. MED."
"AMBULANTA SPLOŠNE MEDICINE GAIA, KARMEN PAHOR, DR. MED., SPEC. SPL. MED.","AMBULANTA SPLOŠNE MEDICINE GAIA, KARMEN PAHOR, DR. MED., SPEC. SPL. MED.",,"Prečna ulica 2, 6230 Postojna",", AMBULANTA SPLOŠNE MEDICINE GAIA, KARMEN PAHOR, DR. MED., SPEC. SPL. MED."
FIZIOTERAPIJA MARINKA MARINKA ZGONC,FIZIOTERAPIJA MARINKA MARINKA ZGONC,,"Cesta 4. maja 17, 1380 Cerknica",", FIZIOTERAPIJA MARINKA MARINKA ZGONC"
FIZIO ANDREA ZASEBNA FIZIOTERAPIJA BRLAN ANDREJA,FIZIO ANDREA ZASEBNA FIZIOTERAPIJA BRLAN ANDREJA,,"Cesta 4. maja 17, 1380 Cerknica",", FIZIO ANDREA ZASEBNA FIZIOTERAPIJA BRLAN ANDREJA"
ZASEBNA ZOBOZDRAVSTVENA ORDINACIJA VELIMIR KLARIĆ DR. DENT. MED.,ZASEBNA ZOBOZDRAVSTVENA ORDINACIJA VELIMIR KLARIĆ DR. DENT. MED.,,"Cesta 4. maja 17, 1380 Cerknica",", ZASEBNA ZOBOZDRAVSTVENA ORDINACIJA VELIMIR KLARIĆ DR. DENT. MED."
ZASEBNA ZOBNA ORDINACIJA - BISERKA CAVRIĆ DR.STOMATOLOG,ZASEBNA ZOBNA ORDINACIJA - BISERKA CAVRIĆ DR.STOMATOLOG,,"Krmelj 53, 8296 Krmelj",", ZASEBNA ZOBNA ORDINACIJA - BISERKA CAVRIĆ DR.STOMATOLOG"
VIDENIČ IRENA DIPL. M.S. - PARTONAŽA IN ZDRAVSTVENA NEGA,VIDENIČ IRENA DIPL. M.S. - PARTONAŽA IN ZDRAVSTVENA NEGA,,"Kocbekova ulica 28, 8250 Brežice",", VIDENIČ IRENA DIPL. M.S. - PARTONAŽA IN ZDRAVSTVENA NEGA"
ŽELIMIR CESAREC DR.MED. - ZASEBNA ORDINACIJA,ŽELIMIR CESAREC DR.MED. - ZASEBNA ORDINACIJA,,"Černelčeva cesta 8, 8250 Brežice",", ŽELIMIR CESAREC DR.MED. - ZASEBNA ORDINACIJA"
"PUP - SAUBERMACHER, podjetje za ravnanje z odpadki d.o.o.","PUP - SAUBERMACHER, podjetje za ravnanje z odpadki d.o.o.",,"Koroška cesta 46, 3320 Velenje",", PUP - SAUBERMACHER, podjetje za ravnanje z odpadki d.o.o."
"LEKARNA BARSOS-H KONCESIONARKA DEA BARIČEVIČ, MAG. FARM.","LEKARNA BARSOS-H KONCESIONARKA DEA BARIČEVIČ, MAG. FARM.",,"Gregorčičeva ulica 9 A, 1000 Ljubljana",", LEKARNA BARSOS-H KONCESIONARKA DEA BARIČEVIČ, MAG. FARM."
GORENC MOJCA - ZASEBNA ZOBNA AMBULANTA,GORENC MOJCA - ZASEBNA ZOBNA AMBULANTA,,"Cesta zmage 1, 1410 Zagorje ob Savi",", GORENC MOJCA - ZASEBNA ZOBNA AMBULANTA"
MLINARIČ MARKO - GINEKOLOG IN PORODNIČAR,MLINARIČ MARKO - GINEKOLOG IN PORODNIČAR,,"Cesta zmage 1, 1410 Zagorje ob Savi",", MLINARIČ MARKO - GINEKOLOG IN PORODNIČAR"
"E & A, zdravstvene in druge storitve, d.o.o.","E & A, zdravstvene in druge storitve, d.o.o.",,"Ob železnici 26, 3313 Polzela",", E & A, zdravstvene in druge storitve, d.o.o."
ZAVOD SV. TEREZIJE zavod za socialno varstveno delo,ZAVOD SV. TEREZIJE zavod za socialno varstveno delo,,"Videm 33 A, 1312 Videm - Dobrepolje",", ZAVOD SV. TEREZIJE zavod za socialno varstveno delo"
ZAVOD ZA ORTODONTIJO IN SPLOŠNO ZOBOZDRAVSTVO ORT - LINE Ljubljana,ZAVOD ZA ORTODONTIJO IN SPLOŠNO ZOBOZDRAVSTVO ORT - LINE Ljubljana,,"Šlosarjeva ulica 4, 1000 Ljubljana",", ZAVOD ZA ORTODONTIJO IN SPLOŠNO ZOBOZDRAVSTVO ORT - LINE Ljubljana"
"PEDIATRIJA BORŠTNIKOVA, zdravstvene storitve in izobraževanje, d.o.o.","PEDIATRIJA BORŠTNIKOVA, zdravstvene storitve in izobraževanje, d.o.o.",,"Borštnikova ulica 79, 2000 Maribor",", PEDIATRIJA BORŠTNIKOVA, zdravstvene storitve in izobraževanje, d.o.o."
JADRANKA PAŠIĆ ENRIGHT DR. MED. - ZASEBNA SPLOŠNA AMBULANTA,JADRANKA PAŠIĆ ENRIGHT DR. MED. - ZASEBNA SPLOŠNA AMBULANTA,,"Obrtniška ulica 30, 6000 Koper - Capodistria",", JADRANKA PAŠIĆ ENRIGHT DR. MED. - ZASEBNA SPLOŠNA AMBULANTA"
"FLAVIANO TONELLO, DR.MED. SPEC.SPL.MED. ZASEBNA SPECIALISTIČNA AMBULANTA SPLOŠNE MEDICINE S KONCESIJO","FLAVIANO TONELLO, DR.MED. SPEC.SPL.MED. ZASEBNA SPECIALISTIČNA AMBULANTA SPLOŠNE MEDICINE S KONCESIJO",,"Dekani 191, 6271 Dekani",", FLAVIANO TONELLO, DR.MED. SPEC.SPL.MED. ZASEBNA SPECIALISTIČNA AMBULANTA SPLOŠNE MEDICINE S KONCESIJO"
PETRAČ ZDENKA - LEKARNA BREZJE,PETRAČ ZDENKA - LEKARNA BREZJE,,"Ulica borcev 1 B, 2000 Maribor",", PETRAČ ZDENKA - LEKARNA BREZJE"
"ALPINEON razvoj in raziskave, d.o.o.","ALPINEON razvoj in raziskave, d.o.o.",,"Ulica Iga Grudna 15, 1000 Ljubljana",", ALPINEON razvoj in raziskave, d.o.o."
"ZAVOD VITIS Center za izobraževanje, usposabljanje in rehabilitacijo Ptuj","ZAVOD VITIS Center za izobraževanje, usposabljanje in rehabilitacijo Ptuj",,"Obrtniška ulica 11, 2250 Ptuj",", ZAVOD VITIS Center za izobraževanje, usposabljanje in rehabilitacijo Ptuj"
"ZAVOD SV. RAFAELA VRANSKO, socialno, varstveno in zdravstveno delo ter druge dobrodelne dejavnosti","ZAVOD SV. RAFAELA VRANSKO, socialno, varstveno in zdravstveno delo ter druge dobrodelne dejavnosti",,"Vransko 144 A, 3305 Vransko",", ZAVOD SV. RAFAELA VRANSKO, socialno, varstveno in zdravstveno delo ter druge dobrodelne dejavnosti"
"AGM NEMEC, podjetje za proizvodnjo, trgovino in storitve d.o.o.","AGM NEMEC, podjetje za proizvodnjo, trgovino in storitve d.o.o.",,"Sedraž 3, 3270 Laško",", AGM NEMEC, podjetje za proizvodnjo, trgovino in storitve d.o.o."
FIDELITAS zobna ambulanta in storitve d.o.o.,FIDELITAS zobna ambulanta in storitve d.o.o.,,"Matenja vas 16 D, 6258 Prestranek",", FIDELITAS zobna ambulanta in storitve d.o.o."
COMETT DOMOVI d.o.o. družba za upravljanje in gradnjo domov,COMETT DOMOVI d.o.o. družba za upravljanje in gradnjo domov,,"Tbilisijska ulica 57 B, 1000 Ljubljana",", COMETT DOMOVI d.o.o. družba za upravljanje in gradnjo domov"
"ZAVOD SVETEGA CIRILA IN METODA za socialno varstveno, zdravstveno in vzgojno izobraževalno dejavnost Beltinci","ZAVOD SVETEGA CIRILA IN METODA za socialno varstveno, zdravstveno in vzgojno izobraževalno dejavnost Beltinci",,"Mladinska ulica 4, 9231 Beltinci",", ZAVOD SVETEGA CIRILA IN METODA za socialno varstveno, zdravstveno in vzgojno izobraževalno dejavnost Beltinci"
"SIMONA JUG MEHLE, DR.DENT.MED. - ZASEBNA ZOBNA ORDINACIJA","SIMONA JUG MEHLE, DR.DENT.MED. - ZASEBNA ZOBNA ORDINACIJA",,"Celjska cesta 16, 3240 Šmarje pri Jelšah",", SIMONA JUG MEHLE, DR.DENT.MED. - ZASEBNA ZOBNA ORDINACIJA"
"AKTIVA UPRAVLJANJE, upravljanje in vzdrževanje d.o.o.","AKTIVA UPRAVLJANJE, upravljanje in vzdrževanje d.o.o.",,"Ljubljanska cesta 12 F, 1236 Trzin",", AKTIVA UPRAVLJANJE, upravljanje in vzdrževanje d.o.o."
DEJAN EBENŠPANGER - ZOBNA ORDINACIJA,DEJAN EBENŠPANGER - ZOBNA ORDINACIJA,,"Lendavska ulica 18, 9000 Murska Sobota",", DEJAN EBENŠPANGER - ZOBNA ORDINACIJA"
"ORDINACIJA ZA PEDIATRIJO IN ŠOLSKO MEDICINO RADOJKA IVOŠEVIĆ, DR. MED., SPEC. PEDIATRIJE","ORDINACIJA ZA PEDIATRIJO IN ŠOLSKO MEDICINO RADOJKA IVOŠEVIĆ, DR. MED., SPEC. PEDIATRIJE",,"Naselje Borisa Kidriča 1, 8330 Metlika",", ORDINACIJA ZA PEDIATRIJO IN ŠOLSKO MEDICINO RADOJKA IVOŠEVIĆ, DR. MED., SPEC. PEDIATRIJE"
"NEŠKOVIĆ DANKA, DR. DENT. MED. - ZASEBNA STOMATOLOŠKA ORDINACIJA","NEŠKOVIĆ DANKA, DR. DENT. MED. - ZASEBNA STOMATOLOŠKA ORDINACIJA",,"Ljubljanska cesta 19, 1330 Kočevje",", NEŠKOVIĆ DANKA, DR. DENT. MED. - ZASEBNA STOMATOLOŠKA ORDINACIJA"
VETERINARSKI CENTER MATEJA PLEVNIK S.P.,VETERINARSKI CENTER MATEJA PLEVNIK S.P.,,"Tovarniška cesta 10, 1370 Logatec",", VETERINARSKI CENTER MATEJA PLEVNIK S.P."
ZASEBNA AMBULANTA DRUŽINSKE MEDICINE BOJANA KALIŠNIK SUŠNIK DR.MED.,ZASEBNA AMBULANTA DRUŽINSKE MEDICINE BOJANA KALIŠNIK SUŠNIK DR.MED.,,"Blejska cesta 10, 4290 Tržič",", ZASEBNA AMBULANTA DRUŽINSKE MEDICINE BOJANA KALIŠNIK SUŠNIK DR.MED."
"TRITEL, inženiring, storitve in trgovina, d.o.o.","TRITEL, inženiring, storitve in trgovina, d.o.o.",,"Nadgoriška cesta 37, 1231 Ljubljana - Črnuče",", TRITEL, inženiring, storitve in trgovina, d.o.o."
"PENZION SREČA varovanje starejših oseb, gostinstvo in turizem d.o.o.","PENZION SREČA varovanje starejših oseb, gostinstvo in turizem d.o.o.",,"Orešje 51, 8220 Šmarješke Toplice",", PENZION SREČA varovanje starejših oseb, gostinstvo in turizem d.o.o."
POKERŽNIK PETER - ZASEBNI ZOBOZDRAVNIK,POKERŽNIK PETER - ZASEBNI ZOBOZDRAVNIK,,"Zrkovska cesta 67, 2000 Maribor",", POKERŽNIK PETER - ZASEBNI ZOBOZDRAVNIK"
"NOVAK ZORAN - ZASEBNI ZDRAVNIK NA PODROČJU MEDICINE DELA , PROMETA IN ŠPORTA IN NA PODROČJU SPLOŠNE MEDICINE","NOVAK ZORAN - ZASEBNI ZDRAVNIK NA PODROČJU MEDICINE DELA , PROMETA IN ŠPORTA IN NA PODROČJU SPLOŠNE MEDICINE",,"Prvomajska ulica 25, 2000 Maribor",", NOVAK ZORAN - ZASEBNI ZDRAVNIK NA PODROČJU MEDICINE DELA , PROMETA IN ŠPORTA IN NA PODROČJU SPLOŠNE MEDICINE"
MARKELJ MIHA - ZOBNA ORDINACIJA VIDEM,MARKELJ MIHA - ZOBNA ORDINACIJA VIDEM,,"Videm 37 A, 1312 Videm - Dobrepolje",", MARKELJ MIHA - ZOBNA ORDINACIJA VIDEM"
VIHAR KRISTINA - ZOBNA AMBULANTA,VIHAR KRISTINA - ZOBNA AMBULANTA,,"Glonarjeva ulica 4, 1000 Ljubljana",", VIHAR KRISTINA - ZOBNA AMBULANTA"
FIZIOTERAPIJA LUCIJA MARIJA LENIČ,FIZIOTERAPIJA LUCIJA MARIJA LENIČ,,"Javorškova ulica 9, 1315 Velike Lašče",", FIZIOTERAPIJA LUCIJA MARIJA LENIČ"
"SNEDIM, družba za storitve, trgovino in proizvodnjo, d.o.o.","SNEDIM, družba za storitve, trgovino in proizvodnjo, d.o.o.",,"Ribniki 12, 8290 Sevnica",", SNEDIM, družba za storitve, trgovino in proizvodnjo, d.o.o."
ZDRAVSTVENI ZAVOD VARIX KOPER,ZDRAVSTVENI ZAVOD VARIX KOPER,,"Glagoljaška ulica 1 C, 6000 Koper - Capodistria",", ZDRAVSTVENI ZAVOD VARIX KOPER"
"GOLTE d.o.o., zimsko letni turistični center","GOLTE d.o.o., zimsko letni turistični center",,"Radegunda 19 C, 3330 Mozirje",", GOLTE d.o.o., zimsko letni turistični center"
"FIZIKALIJA, fizikalna rehabilitacija d.o.o.","FIZIKALIJA, fizikalna rehabilitacija d.o.o.",,"Tomšičeva ulica 4, 6000 Koper - Capodistria",", FIZIKALIJA, fizikalna rehabilitacija d.o.o."
ZDRAVSTVENI ZAVOD IMPLANT DENT IZOLA,ZDRAVSTVENI ZAVOD IMPLANT DENT IZOLA,,"Letališka cesta 32, 1000 Ljubljana",", ZDRAVSTVENI ZAVOD IMPLANT DENT IZOLA"
"POGREBNE STORITVE,OPREMA,VZDRŽEVANJE POKOPALIŠČ IN ZELENIC ALEKSANDRA VUČKIČ BANFI S.P.","POGREBNE STORITVE,OPREMA,VZDRŽEVANJE POKOPALIŠČ IN ZELENIC ALEKSANDRA VUČKIČ BANFI S.P.",,"Veščica 17, 9000 Murska Sobota",", POGREBNE STORITVE,OPREMA,VZDRŽEVANJE POKOPALIŠČ IN ZELENIC ALEKSANDRA VUČKIČ BANFI S.P."
"EKO DIMNIK, dimnikarstvo, ogrevanje, svetovanje in nadzor d.o.o.","EKO DIMNIK, dimnikarstvo, ogrevanje, svetovanje in nadzor d.o.o.",,"Stritarjeva cesta 9, 1290 Grosuplje",", EKO DIMNIK, dimnikarstvo, ogrevanje, svetovanje in nadzor d.o.o."
"TROJINA, zavod za uporabno slovenistiko","TROJINA, zavod za uporabno slovenistiko",,"Partizanska cesta 5, 4220 Škofja Loka",", TROJINA, zavod za uporabno slovenistiko"
MEDNARODNA PODIPLOMSKA ŠOLA JOŽEFA STEFANA,MEDNARODNA PODIPLOMSKA ŠOLA JOŽEFA STEFANA,,"Jamova cesta 39, 1000 Ljubljana",", MEDNARODNA PODIPLOMSKA ŠOLA JOŽEFA STEFANA"
"EKOLOŠKO SVETOVANJE, PROJEKTIRANJE-INŽENIRING REBERNIK GORAN S.P.","EKOLOŠKO SVETOVANJE, PROJEKTIRANJE-INŽENIRING REBERNIK GORAN S.P.",,"Pot na Kamenšak 2, 2230 Lenart v Slov. goricah",", EKOLOŠKO SVETOVANJE, PROJEKTIRANJE-INŽENIRING REBERNIK GORAN S.P."
"APEX-T.A zobozdravstvo, storitve in trgovina d.o.o.","APEX-T.A zobozdravstvo, storitve in trgovina d.o.o.",,"Novi dom 11, 1430 Hrastnik",", APEX-T.A zobozdravstvo, storitve in trgovina d.o.o."
ZDRAVJE zdravstvene storitve in svetovanje d.o.o.,ZDRAVJE zdravstvene storitve in svetovanje d.o.o.,,"Ulica padlih borcev 22, 6258 Prestranek",", ZDRAVJE zdravstvene storitve in svetovanje d.o.o."
LEKARNA SAVSKI OTOK - MARIJA AHAČIČ,LEKARNA SAVSKI OTOK - MARIJA AHAČIČ,,"Stara cesta 25 B, 4000 Kranj",", LEKARNA SAVSKI OTOK - MARIJA AHAČIČ"
MIKMAR družba za trgovino in storitve d.o.o.,MIKMAR družba za trgovino in storitve d.o.o.,,"Kettejeva ulica 14, 2000 Maribor",", MIKMAR družba za trgovino in storitve d.o.o."
ZDRAVSTVENI IN ZOBOZDRAVSTVENI ZAVOD DR. MALE,ZDRAVSTVENI IN ZOBOZDRAVSTVENI ZAVOD DR. MALE,,"Gospejna ulica 11, 2000 Maribor",", ZDRAVSTVENI IN ZOBOZDRAVSTVENI ZAVOD DR. MALE"
SANJA SLADE - ZASEBNA ZOBNA AMBULANTA,SANJA SLADE - ZASEBNA ZOBNA AMBULANTA,,"Valvasorjeva ulica 38, 2000 Maribor",", SANJA SLADE - ZASEBNA ZOBNA AMBULANTA"
ZOBOZDRAVSTVENI ZAVOD DOKTOR GOLČER,ZOBOZDRAVSTVENI ZAVOD DOKTOR GOLČER,,"Kopitarjeva ulica 2, 2000 Maribor",", ZOBOZDRAVSTVENI ZAVOD DOKTOR GOLČER"
"ZDRAVI ZOBJE, zdravstvene storitve in izobraževanje, d.o.o.","ZDRAVI ZOBJE, zdravstvene storitve in izobraževanje, d.o.o.",,"Ulica heroja Nandeta 37, 2000 Maribor",", ZDRAVI ZOBJE, zdravstvene storitve in izobraževanje, d.o.o."
