Ime,Prikazano ime,Glavna e-pošta:,Naslov v službi,Organizacija
"LAS MDD zadruga za razvoj podeželja, z.b.o.","LAS MDD zadruga za razvoj podeželja, z.b.o.",,"Mariborska cesta 7, 2360 Radlje ob Dravi",", LAS MDD zadruga za razvoj podeželja, z.b.o."
"LAS Mežiške doline, lokalna akcijska skupina za razvoj podeželja, z.b.o.","LAS Mežiške doline, lokalna akcijska skupina za razvoj podeželja, z.b.o.",,"Center 101, 2393 Črna na Koroškem",", LAS Mežiške doline, lokalna akcijska skupina za razvoj podeželja, z.b.o."
"VODOVODNA ZADRUGA PREDDVOR, Z.B.O.","VODOVODNA ZADRUGA PREDDVOR, Z.B.O.",,"Goričica 7, 4205 Preddvor",", VODOVODNA ZADRUGA PREDDVOR, Z.B.O."
"Sončna zadruga, zelena energija,  z.b.o., so.p.","Sončna zadruga, zelena energija,  z.b.o., so.p.",,"Verovškova ulica 60, 1000 Ljubljana",", Sončna zadruga, zelena energija,  z.b.o., so.p."
